Date,Time,Cell_num,Upload,Download,Day,Hour
2018/3/1,0,1874,0.002350525,0.004006348,1,1
2018/3/1,1,1874,0.00204412,0.09711859,1,2
2018/3/1,2,1874,0.001258235,0.001920262,1,3
2018/3/1,3,1874,0.000446369,0.001286684,1,4
2018/3/1,4,1874,0.000952662,0.006989923,1,5
2018/3/1,5,1874,0.001369767,0.020238895,1,6
2018/3/1,6,1874,0.002990191,0.027765803,1,7
2018/3/1,7,1874,0.008486358,0.078261027,1,8
2018/3/1,8,1874,0.008587684,0.039962718,1,9
2018/3/1,9,1874,0.016503709,0.104410676,1,10
2018/3/1,10,1874,0.013325912,0.076777601,1,11
2018/3/1,11,1874,0.013751283,0.134542873,1,12
2018/3/1,12,1874,0.018560391,0.121352489,1,13
2018/3/1,13,1874,0.008029041,0.045775036,1,14
2018/3/1,14,1874,0.010091836,0.02107342,1,15
2018/3/1,15,1874,0.02454533,0.040369142,1,16
2018/3/1,16,1874,0.032038295,0.120086355,1,17
2018/3/1,17,1874,0.027013707,0.15400358,1,18
2018/3/1,18,1874,0.02127532,0.368754713,1,19
2018/3/1,19,1874,0.023396454,0.209156682,1,20
2018/3/1,20,1874,0.020782732,0.421332617,1,21
2018/3/1,21,1874,0.015633696,0.620974213,1,22
2018/3/1,22,1874,0.009564353,0.095852218,1,23
2018/3/1,23,1874,0.007272362,0.079486848,1,24
2018/3/2,0,1874,0.000731758,0.001557449,2,25
2018/3/2,1,1874,0.000420546,0.00089282,2,26
2018/3/2,2,1874,0.002164054,0.010025083,2,27
2018/3/2,3,1874,0.002549352,0.044185378,2,28
2018/3/2,4,1874,0.001908998,0.010202792,2,29
2018/3/2,5,1874,0.001106814,0.003436755,2,30
2018/3/2,6,1874,0.003467654,0.021783477,2,31
2018/3/2,7,1874,0.006192987,0.031191976,2,32
2018/3/2,8,1874,0.006583919,0.080431826,2,33
2018/3/2,9,1874,0.030521616,0.122783921,2,34
2018/3/2,10,1874,0.012872507,0.064017659,2,35
