Date,Time,Cell_num,Upload,Download,Day,Hour
2018/3/1,0,186,0.012694969,0.209157925,1,1
2018/3/1,1,186,0.000560913,0.000851421,1,2
2018/3/1,2,186,0.000632057,0.001749058,1,3
2018/3/1,3,186,0.000624666,0.001511841,1,4
2018/3/1,4,186,0.000762053,0.001753902,1,5
2018/3/1,5,186,0.002087736,0.015338039,1,6
2018/3/1,6,186,0.001558752,0.014624662,1,7
2018/3/1,7,186,0.004559917,0.036997623,1,8
2018/3/1,8,186,0.003036432,0.017414141,1,9
2018/3/1,9,186,0.001244669,0.002770052,1,10
2018/3/1,10,186,0.002838535,0.009227571,1,11
2018/3/1,11,186,0.00456852,0.004162836,1,12
2018/3/1,12,186,0.002211008,0.029102726,1,13
2018/3/1,13,186,0.001706114,0.008143988,1,14
2018/3/1,14,186,0.005056143,0.253959055,1,15
2018/3/1,15,186,0.001671305,0.055710983,1,16
2018/3/1,16,186,0.001810799,0.016826258,1,17
2018/3/1,17,186,0.002292051,0.012706747,1,18
2018/3/1,18,186,0.019788332,0.052009068,1,19
2018/3/1,19,186,0.01324645,0.123214741,1,20
2018/3/1,20,186,0.098443766,0.152568045,1,21
2018/3/1,21,186,0.039348993,0.384890432,1,22
2018/3/1,22,186,0.107482548,1.403621073,1,23
2018/3/1,23,186,0.011239653,0.689278421,1,24
2018/3/2,0,186,0.004240265,0.207987566,2,25
2018/3/2,1,186,0.001722383,0.024361725,2,26
2018/3/2,2,186,0.000471249,0.000786495,2,27
2018/3/2,3,186,0.000405302,0.001020784,2,28
2018/3/2,4,186,0.000616322,0.001326714,2,29
2018/3/2,5,186,0.000656338,0.013814688,2,30
2018/3/2,6,186,0.003290682,0.019818439,2,31
2018/3/2,7,186,0.01390214,0.040584393,2,32
2018/3/2,8,186,0.003472052,0.01656333,2,33
2018/3/2,9,186,0.001799946,0.008764544,2,34
2018/3/2,10,186,0.003475475,0.050017538,2,35
2018/3/2,11,186,0.002294407,0.051477518,2,36
2018/3/2,12,186,0.00258296,0.016741238,2,37
2018/3/2,13,186,0.002222528,0.006269674,2,38
2018/3/2,14,186,0.003522882,0.012309933,2,39
2018/3/2,15,186,0.021100855,0.011118689,2,40
2018/3/2,16,186,0.011130571,0.031366997,2,41
2018/3/2,17,186,0.007274418,0.042608776,2,42
2018/3/2,18,186,0.014853344,0.065224361,2,43
2018/3/2,19,186,0.008861647,0.051650553,2,44
2018/3/2,20,186,0.02787384,0.201690292,2,45
2018/3/2,21,186,0.041106281,0.138982821,2,46
2018/3/2,22,186,0.027919588,0.257907524,2,47
2018/3/2,23,186,0.018537016,0.872802687,2,48
2018/3/3,0,186,0.009874611,0.245761175,3,49
2018/3/3,1,186,0.003108301,0.02359931,3,50
2018/3/3,2,186,0.008454819,0.033422899,3,51
2018/3/3,3,186,0.000650835,0.000928822,3,52
2018/3/3,4,186,0.000862608,0.002484255,3,53
2018/3/3,5,186,0.003486366,0.007012806,3,54
2018/3/3,6,186,0.000752831,0.001523743,3,55
2018/3/3,7,186,0.002340918,0.033029985,3,56
2018/3/3,8,186,0.005717049,0.050349703,3,57
2018/3/3,9,186,0.006363373,0.034640369,3,58
2018/3/3,10,186,0.007183027,0.067495155,3,59
2018/3/3,11,186,0.005419416,0.032844057,3,60
2018/3/3,12,186,0.004329939,0.021725283,3,61
2018/3/3,13,186,0.003070469,0.018658915,3,62
2018/3/3,14,186,0.004042854,0.013035002,3,63
2018/3/3,15,186,0.00870719,0.048605671,3,64
2018/3/3,16,186,0.00473958,0.031377039,3,65
2018/3/3,17,186,0.010463753,0.108319244,3,66
2018/3/3,18,186,0.009780493,0.066819019,3,67
2018/3/3,19,186,0.020678654,0.113544874,3,68
2018/3/3,20,186,0.066435375,0.128865957,3,69
2018/3/3,21,186,0.030565605,0.205117245,3,70
