Date,Time,Cell_num,Upload,Download,Mon,Day
2018/3/1,0,1,0.32470960600000004,3.560743589,3,1
2018/3/1,1,1,0.070473995,1.154026413,3,1
2018/3/1,2,1,0.06506348599999999,0.571824083,3,1
2018/3/1,3,1,0.032563429,0.435221386,3,1
2018/3/1,4,1,0.0306,0.1,3,1
2018/3/1,5,1,0.028391943,0.09737842599999999,3,1
2018/3/1,6,1,0.051665725999999995,0.696863413,3,1
2018/3/1,7,1,0.093756113,1.218969307,3,1
2018/3/1,8,1,0.21386753100000003,1.504885759,3,1
2018/3/1,9,1,0.449391356,1.924939795,3,1
2018/3/1,10,1,0.307692242,2.202629795,3,1
2018/3/1,11,1,0.441810169,3.117567415,3,1
2018/3/1,12,1,0.353366556,3.2901391319999997,3,1
2018/3/1,13,1,0.285311127,2.575830107,3,1
2018/3/1,14,1,0.294935541,1.327559786,3,1
2018/3/1,15,1,0.237397041,1.855083055,3,1
2018/3/1,16,1,0.33792363200000003,2.007223186,3,1
2018/3/1,17,1,0.295853357,3.137121315,3,1
2018/3/1,18,1,0.34602532399999997,3.242377138,3,1
2018/3/1,19,1,0.424597368,4.7643198589999995,3,1
2018/3/1,20,1,0.672341175,4.565360479,3,1
2018/3/1,21,1,0.5307629779999999,4.454750624,3,1
2018/3/1,22,1,0.6995446679999999,5.931800976,3,1
2018/3/1,23,1,0.421861916,4.037114096,3,1
2018/3/2,0,1,0.201,2.31,3,2
2018/3/2,1,1,0.136873589,1.8846833230000002,3,2
2018/3/2,2,1,0.041849356000000004,0.594894905,3,2
2018/3/2,3,1,0.028902264,1.009937983,3,2
2018/3/2,4,1,0.0204,0.7190000000000001,3,2
2018/3/2,5,1,0.024602222000000003,0.722892599,3,2
2018/3/2,6,1,0.06336113,1.3358008479999999,3,2
2018/3/2,7,1,0.15844897300000002,1.5301913169999999,3,2
2018/3/2,8,1,0.43793748899999996,2.542342415,3,2
2018/3/2,9,1,0.382683964,2.413917847,3,2
2018/3/2,10,1,0.32299999999999995,3.27,3,2
2018/3/2,11,1,0.320326138,3.105592909,3,2
2018/3/2,12,1,0.302562437,2.7144250389999995,3,2
2018/3/2,13,1,0.265449133,2.373017054,3,2
2018/3/2,14,1,0.293311577,2.9168093010000002,3,2
2018/3/2,15,1,0.299564848,3.492696428,3,2
2018/3/2,16,1,0.294919453,3.368486795,3,2
2018/3/2,17,1,0.283033142,3.1292280389999996,3,2
2018/3/2,18,1,0.298808222,4.5456142999999996,3,2
2018/3/2,19,1,0.386034651,4.307159901,3,2
2018/3/2,20,1,0.47970796600000004,4.418256655,3,2
2018/3/2,21,1,0.631691666,3.3879117969999997,3,2
2018/3/2,22,1,0.572797918,3.593661995,3,2
2018/3/2,23,1,0.38179384200000005,2.626672277,3,2
2018/3/3,0,1,0.287689381,3.8944022560000002,3,3
2018/3/3,1,1,0.10553206400000001,1.327947512,3,3
2018/3/3,2,1,0.040666561000000004,0.932291613,3,3
2018/3/3,3,1,0.03558795,0.7712920090000001,3,3
2018/3/3,4,1,0.026541243,0.645602217,3,3
2018/3/3,5,1,0.026536627,0.537762547,3,3
2018/3/3,6,1,0.075538893,0.362041702,3,3
2018/3/3,7,1,0.159150171,1.8852095219999998,3,3
2018/3/3,8,1,0.175453844,1.43777936,3,3
2018/3/3,9,1,0.304,3.6908821489999997,3,3
2018/3/3,10,1,0.499221735,3.7878540419999998,3,3
2018/3/3,11,1,0.39180166200000005,3.822476635,3,3
2018/3/3,12,1,0.353082705,3.132761641,3,3
2018/3/3,13,1,0.490970068,3.4346648980000003,3,3
2018/3/3,14,1,0.388790674,2.939461966,3,3
2018/3/3,15,1,0.342192936,3.9252947999999996,3,3
2018/3/3,16,1,0.36393718700000005,6.580819882999999,3,3
2018/3/3,17,1,0.51089922,5.058385611,3,3
2018/3/3,18,1,0.279687309,2.656229668,3,3
2018/3/3,19,1,0.331967316,4.642985239,3,3
2018/3/3,20,1,0.45404226299999995,5.186819038,3,3
2018/3/3,21,1,0.362139978,4.026244354,3,3
2018/3/3,22,1,0.470719967,3.443552675,3,3
2018/3/3,23,1,0.32510641100000004,4.799205713,3,3
2018/3/4,0,1,0.197377167,2.914598999,3,4
2018/3/4,1,1,0.193267059,1.081889229,3,4
