Date,Time,Cell_num,Upload,Download,Day
2018/3/1,0,3,0.137215309,0.536776037,1
2018/3/1,1,3,0.035466232,0.808608618,1
2018/3/1,2,3,0.036462898,0.695666752,1
2018/3/1,3,3,0.022924576,0.629543304,1
2018/3/1,4,3,0.039545307,0.214434643,1
2018/3/1,5,3,0.01770072,0.130486937,1
2018/3/1,6,3,0.067377253,0.476772413,1
2018/3/1,7,3,0.24394536,2.068225145,1
2018/3/1,8,3,0.536741381,4.73751811,1
2018/3/1,9,3,0.63304945,4.623909855,1
2018/3/1,10,3,0.676049738,3.931170349,1
2018/3/1,11,3,0.618715048,3.207990026,1
2018/3/1,12,3,0.613033123,4.524151726,1
2018/3/1,13,3,0.546119976,4.202768011,1
2018/3/1,14,3,0.576225271,3.709553356,1
2018/3/1,15,3,0.490151997,2.917316198,1
2018/3/1,16,3,0.567116652,3.545049343,1
2018/3/1,17,3,0.650148602,3.998661194,1
2018/3/1,18,3,0.646483278,4.331946287,1
2018/3/1,19,3,0.488,2.76,1
2018/3/1,20,3,0.378493366,2.081009007,1
2018/3/1,21,3,0.377125187,2.029800711,1
2018/3/1,22,3,0.401677608,1.081532946,1
2018/3/1,23,3,0.135989113,0.784151621,1
2018/3/2,0,3,0.04660078,0.343871288,2
2018/3/2,1,3,0.05065176,0.610754871,2
2018/3/2,2,3,0.022660208,0.35483202,2
2018/3/2,3,3,0.01219265,0.065988894,2
2018/3/2,4,3,0.017210703,0.249477463,2
2018/3/2,5,3,0.0195,0.678,2
2018/3/2,6,3,0.067970867,0.579782677,2
2018/3/2,7,3,0.253501549,1.974983921,2
2018/3/2,8,3,0.476791544,4.098643351,2
2018/3/2,9,3,0.548227415,4.236879749,2
2018/3/2,10,3,0.667193146,4.89131876,2
2018/3/2,11,3,0.588200483,3.714276733,2
2018/3/2,12,3,0.61638382,4.253893633,2
2018/3/2,13,3,0.573,4.13,2
2018/3/2,14,3,0.59791748,4.431173868,2
2018/3/2,15,3,0.603991489,4.228295603,2
2018/3/2,16,3,0.699060965,5.366000223,2
2018/3/2,17,3,0.75159833,4.383648043,2
2018/3/2,18,3,0.736864138,4.588684177,2
2018/3/2,19,3,0.553083687,3.586149626,2
2018/3/2,20,3,0.420803051,3.31338191,2
2018/3/2,21,3,0.352460642,2.618112555,2
2018/3/2,22,3,0.291,1.57,2
2018/3/2,23,3,0.13462182,1.352974634,2
2018/3/3,0,3,0.097821589,0.874588614,3
2018/3/3,1,3,0.027708654,0.13603323,3
2018/3/3,2,3,0.017688093,0.058129864,3
2018/3/3,3,3,0.008397512,0.04578846,3
2018/3/3,4,3,0.00854393,0.041612816,3
2018/3/3,5,3,0.009291868,0.136544218,3
2018/3/3,6,3,0.03389946,0.231551886,3
2018/3/3,7,3,0.192718048,1.097626648,3
2018/3/3,8,3,0.252314348,2.170341854,3
2018/3/3,9,3,0.336753654,2.427500257,3
2018/3/3,10,3,0.502827549,3.248213968,3
2018/3/3,11,3,0.549276943,3.271226444,3
2018/3/3,12,3,0.520787239,4.167934723,3
2018/3/3,13,3,0.598,4.19,3
2018/3/3,14,3,0.450387373,3.220473528,3
2018/3/3,15,3,0.493394995,3.953107576,3
2018/3/3,16,3,0.530120296,3.507319603,3
2018/3/3,17,3,0.582429743,4.212537661,3
2018/3/3,18,3,0.428,3.12,3
2018/3/3,19,3,0.363523273,3.324617281,3
2018/3/3,20,3,0.321105595,3.035576124,3
2018/3/3,21,3,0.263411303,1.96681901,3
2018/3/3,22,3,0.272542953,1.998271704,3
2018/3/3,23,3,0.163734503,1.417238607,3
2018/3/4,0,3,0.101047192,0.699385614,4
2018/3/4,1,3,0.057850647,0.466401196,4
2018/3/4,2,3,0.036614342,0.269972944,4
2018/3/4,3,3,0.025092983,0.120602484,4
2018/3/4,4,3,0.012588959,0.192656631,4
2018/3/4,5,3,0.022227564,0.690893478,4
2018/3/4,6,3,0.09152029,0.857427788,4
2018/3/4,7,3,0.108755646,1.036077909,4
2018/3/4,8,3,0.2216889,2.269525394,4
2018/3/4,9,3,0.321405172,2.537724762,4
2018/3/4,10,3,0.407075224,3.20482933,4
2018/3/4,11,3,0.479666367,4.130889587,4
2018/3/4,12,3,0.517287874,3.619239769,4
